iter	Passed	Remaining
0	26	2645
1	57	2836
2	116	3769
3	149	3578
4	183	3486
5	202	3171
6	245	3265
7	276	3176
8	308	3114
9	336	3028
10	368	2977
11	395	2902
12	402	2696
13	436	2681
14	464	2629
15	479	2517
16	508	2480
17	536	2442
18	563	2402
19	591	2365
20	638	2400
21	665	2359
22	693	2322
23	708	2244
24	738	2214
25	767	2183
26	798	2158
27	829	2133
28	858	2101
29	886	2067
30	914	2035
31	942	2002
32	970	1969
33	999	1939
34	1025	1905
35	1054	1874
36	1082	1843
37	1110	1812
38	1139	1782
39	1167	1750
40	1194	1719
41	1231	1700
42	1274	1689
43	1306	1663
44	1335	1632
45	1364	1601
46	1392	1569
47	1431	1550
48	1464	1524
49	1492	1492
50	1529	1469
51	1563	1443
52	1606	1424
53	1638	1395
54	1666	1363
55	1694	1331
56	1723	1300
57	1750	1267
58	1781	1237
59	1809	1206
60	1845	1179
61	1873	1148
62	1901	1116
63	1929	1085
64	1957	1053
65	1985	1023
66	2014	991
67	2064	971
68	2092	940
69	2121	909
70	2150	878
71	2177	846
72	2205	815
73	2233	784
74	2264	754
75	2293	724
76	2321	693
77	2354	664
78	2385	634
79	2414	603
80	2442	572
81	2469	542
82	2498	511
83	2526	481
84	2554	450
85	2582	420
86	2609	389
87	2649	361
88	2678	331
89	2712	301
90	2740	271
91	2768	240
92	2796	210
93	2825	180
94	2853	150
95	2881	120
96	2916	90
97	2944	60
98	2973	30
99	3004	0
