iter	Logloss
0	0.6752634115
1	0.6571147786
2	0.638450651
3	0.6222904297
4	0.6087476563
5	0.5944057943
6	0.5802496094
7	0.5656373047
8	0.5533114583
9	0.5440756185
10	0.5334463216
11	0.5229625
12	0.5149057943
13	0.5079919271
14	0.4987424805
15	0.4907914388
16	0.4826308268
17	0.4741158203
18	0.4673523438
19	0.4605270182
20	0.4536117188
21	0.4484657227
22	0.4420988932
23	0.4375207682
24	0.4332154297
25	0.4283376628
26	0.4241583333
27	0.4192091797
28	0.4155069987
29	0.4121494141
30	0.4092790039
31	0.406260026
32	0.4034966797
33	0.4012785482
34	0.3995502279
35	0.397211556
36	0.3946458008
37	0.3913441732
38	0.389038151
39	0.38603125
40	0.3839189453
41	0.3820588542
42	0.380247526
43	0.3778767578
44	0.375781543
45	0.3738672852
46	0.3718520833
47	0.370547819
48	0.3692241536
49	0.3678094076
50	0.366848112
51	0.365180599
52	0.3636884766
53	0.3626625977
54	0.3615335612
55	0.3600479492
56	0.3586839193
57	0.3577286458
58	0.3569049154
59	0.3556092448
60	0.354231901
61	0.3532276367
62	0.3520087891
63	0.3508944987
64	0.3501473958
65	0.3495837565
66	0.3489433594
67	0.348146224
68	0.347612207
69	0.3470296549
70	0.3466307292
71	0.3457611979
72	0.3451756185
73	0.3444582682
74	0.3438130534
75	0.3432330078
76	0.3426869141
77	0.3422446289
78	0.3413715495
79	0.340973763
80	0.3405785156
81	0.3397403971
82	0.3392511719
83	0.3386973633
84	0.33829375
85	0.3376478516
86	0.337351237
87	0.336951888
88	0.3364262044
89	0.3361178385
90	0.3357796875
91	0.3354055339
92	0.3349134766
93	0.3345992513
94	0.3339446615
95	0.3335331706
96	0.3332295247
97	0.3329349935
98	0.3325026693
99	0.3321298177
100	0.3318330078
101	0.3313604167
102	0.3310113281
103	0.330751888
104	0.3302626953
105	0.3298958984
106	0.3294977539
107	0.3294013672
108	0.3288800456
109	0.3285898112
110	0.3282633138
111	0.3279166667
112	0.3276389648
113	0.3271677083
114	0.3267666992
115	0.3264626953
116	0.3260999349
117	0.3258938477
118	0.3256270182
119	0.325281901
120	0.3251229492
121	0.3248375977
122	0.3246226562
123	0.3242702474
124	0.3239603516
125	0.3237867513
126	0.3234327474
127	0.3232061849
128	0.3229519531
129	0.3227779297
130	0.3224821615
131	0.3223995117
132	0.3221990885
133	0.3220431315
134	0.3217497396
135	0.3216011719
136	0.3213735026
137	0.3211298177
138	0.320911849
139	0.3207139323
140	0.3205808594
141	0.320352832
142	0.3201929036
143	0.3201248047
144	0.3199356771
145	0.3198709635
146	0.3195354167
147	0.3192149089
148	0.3188871745
149	0.3187255859
150	0.3185340495
151	0.3182956055
152	0.3181760091
153	0.3179719401
154	0.3179104167
155	0.3177627604
156	0.3175073242
157	0.3173412109
158	0.3171573893
159	0.3169638346
160	0.3167285807
161	0.3164916016
162	0.3162713867
163	0.3160957031
164	0.315913151
165	0.3158026693
166	0.315603776
167	0.3154673503
168	0.3153155599
169	0.315147168
170	0.3149552083
171	0.3148094401
172	0.3147155599
173	0.3145717122
174	0.314261849
175	0.3140125651
176	0.3139220703
177	0.3137264323
178	0.313502832
179	0.313303418
180	0.3131779297
181	0.3129219401
182	0.3128265625
183	0.3125415039
184	0.3124318359
185	0.3122155924
186	0.3121172526
187	0.3119476888
188	0.3117202148
189	0.3115554688
190	0.3114046224
191	0.3112312826
192	0.3111358398
193	0.3108920247
194	0.3107028646
195	0.3105699544
196	0.3103491862
197	0.3103147786
198	0.3101224609
199	0.309938151
200	0.309730957
201	0.3096373047
202	0.3095819661
203	0.3094933594
204	0.3093875651
205	0.3091799154
206	0.3091182943
207	0.3089776367
208	0.3088621745
209	0.3086613281
210	0.3084728516
211	0.308370638
212	0.3081242839
213	0.3079550456
214	0.307746875
215	0.3076063151
216	0.3073776693
217	0.3072479818
218	0.3070246745
219	0.3068477539
220	0.3066651042
221	0.3065804688
222	0.3064164714
223	0.3062209961
224	0.3061159831
225	0.305992513
226	0.3058438151
227	0.3056610352
228	0.3055606445
229	0.3054041667
230	0.3052125
231	0.3050029622
232	0.304900651
233	0.3047781576
234	0.304564388
235	0.3044274089
236	0.3043348958
237	0.3041674479
238	0.304040625
239	0.3039047526
240	0.3037210612
241	0.3035096354
242	0.303430599
243	0.3033166667
244	0.3032337565
245	0.3031516276
246	0.3030364258
247	0.3028888997
248	0.3027726562
249	0.3026840169
250	0.3024786133
251	0.3023199219
252	0.302222526
253	0.3020555013
254	0.3018335286
255	0.3017403646
256	0.3016424805
257	0.3015075846
258	0.3014034505
259	0.3013334961
260	0.3011072591
261	0.3009500651
262	0.3008612305
263	0.3007232747
264	0.300593457
265	0.3005119141
266	0.3003496745
267	0.3001110352
268	0.2999936198
269	0.2998640625
270	0.2997154622
271	0.2996582357
272	0.2995039714
273	0.2993923828
274	0.2991288086
275	0.2990525716
276	0.2989288411
277	0.2987450521
278	0.2986381185
279	0.2985658529
280	0.2985148437
281	0.2984091146
282	0.2983481771
283	0.2982891927
284	0.2981138997
285	0.2980039714
286	0.2979471029
287	0.2977651693
288	0.2976332682
289	0.297569987
290	0.2975118164
291	0.2973373372
292	0.2971822917
293	0.2971124349
294	0.2969767578
295	0.2969044922
296	0.2966589193
297	0.2965379557
298	0.2963369792
299	0.2962474284
300	0.29614375
301	0.2960531901
302	0.2959473958
303	0.2958432943
304	0.2957020833
305	0.2955935872
306	0.295456901
307	0.2953976888
308	0.2953173828
309	0.2952516602
310	0.2950767904
311	0.2949401367
312	0.2947979818
313	0.2946615885
314	0.2945091146
315	0.2944158203
316	0.2941397786
317	0.2940039714
318	0.2938520833
319	0.2936973307
320	0.2935689453
321	0.2933958984
322	0.2931867513
323	0.2930119792
324	0.2928819661
325	0.2928165365
326	0.2926633789
327	0.2924476888
328	0.2923244792
329	0.292225
330	0.2920984375
331	0.2919241862
332	0.2917845052
333	0.2916670247
334	0.2915340495
335	0.2913983398
336	0.2912647786
337	0.291164388
338	0.2910739258
339	0.2909103516
340	0.2907902018
341	0.2906789062
342	0.2904700521
343	0.2903438151
344	0.2901641927
345	0.2900645182
346	0.2899777995
347	0.2899038411
348	0.2897776042
349	0.2896601563
350	0.2895097656
351	0.2893998698
352	0.289286849
