iter	Passed	Remaining
0	148	148638
1	151	75819
2	154	51477
3	157	39210
4	160	31935
5	177	29350
6	180	25574
7	192	23908
8	195	21570
9	198	19645
10	207	18616
11	210	17293
12	223	16957
13	225	15874
14	228	14993
15	238	14661
16	241	13952
17	244	13329
18	253	13065
19	268	13139
20	271	12640
21	282	12572
22	299	12706
23	315	12819
24	330	12906
25	345	12954
26	349	12585
27	352	12236
28	361	12094
29	376	12180
30	391	12244
31	394	11938
32	397	11650
33	405	11532
34	407	11239
35	410	10992
36	413	10761
37	416	10545
38	421	10398
39	425	10200
40	427	10010
41	437	9990
42	440	9812
43	444	9647
44	446	9485
45	449	9330
46	470	9537
47	473	9387
48	476	9242
49	503	9570
50	531	9887
51	535	9769
52	546	9756
53	561	9836
54	564	9699
55	576	9719
56	579	9589
57	582	9462
58	592	9442
59	595	9322
60	597	9204
61	601	9094
62	604	8985
63	623	9115
64	626	9007
65	629	8902
66	632	8801
67	635	8705
68	638	8609
69	640	8515
70	643	8423
71	653	8424
72	668	8492
73	671	8407
74	684	8436
75	686	8352
76	689	8271
77	692	8191
78	695	8113
79	732	8418
80	737	8363
81	742	8317
82	746	8245
83	761	8301
84	776	8356
85	809	8598
86	822	8629
87	825	8553
88	838	8577
89	840	8502
90	853	8524
91	868	8572
92	871	8500
93	874	8428
94	884	8423
95	899	8467
96	915	8519
97	918	8455
98	922	8392
99	946	8514
100	949	8449
101	977	8604
102	992	8640
103	1008	8688
104	1011	8624
105	1024	8639
106	1027	8576
107	1038	8579
108	1041	8517
109	1056	8545
110	1059	8485
111	1088	8627
112	1092	8572
113	1103	8575
114	1106	8514
115	1109	8455
116	1118	8442
117	1134	8476
118	1137	8418
119	1148	8424
120	1152	8369
121	1164	8378
122	1167	8322
123	1170	8266
124	1173	8213
125	1176	8160
126	1179	8108
127	1182	8057
128	1185	8005
129	1194	7993
130	1210	8029
131	1225	8056
132	1272	8293
133	1286	8317
134	1290	8267
135	1293	8217
136	1302	8204
137	1317	8231
138	1320	8182
139	1333	8191
140	1348	8216
141	1352	8170
142	1364	8175
143	1366	8123
144	1369	8076
145	1372	8027
146	1375	7982
147	1410	8118
148	1424	8137
149	1427	8091
150	1439	8092
151	1455	8117
152	1484	8219
153	1501	8247
154	1534	8365
155	1548	8378
156	1551	8331
157	1554	8284
158	1557	8238
159	1560	8193
160	1596	8320
161	1612	8339
162	1615	8294
163	1627	8296
164	1630	8251
165	1632	8203
166	1635	8159
167	1638	8115
